"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"ABALONE_COMMERCIAL_DIVE_BLOCKS","STATEWIDE","statewide","ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip","abalone_commercial_dive_blocks_statewide.gdb","gdb","gdb;shp;tab","OpenFileGDB","abalone_commercial_dive_blocks_statewide","MultiPolygon",61,4,"EPSG:28355","220017.3242 5153857.9809 637030.4732 5663998.1847","","https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip",""
"ABALONE_COMMERCIAL_DIVE_BLOCKS","STATEWIDE","statewide","ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip","","shp","gdb;shp;tab","ESRI Shapefile","abalone_commercial_dive_blocks_statewide","Polygon",61,4,"EPSG:28355","220017.3242 5153857.9809 637030.4732 5663998.1847","","https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip",""
"ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS","STATEWIDE","statewide","ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip","abalone_commercial_dive_sub_blocks_statewide.gdb","gdb","gdb;shp;tab","OpenFileGDB","abalone_commercial_dive_sub_blocks_statewide","MultiPolygon",154,3,"EPSG:28355","220017.3242 5153857.9809 637030.4732 5663998.1847","","https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip",""
"ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS","STATEWIDE","statewide","ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip","","shp","gdb;shp;tab","ESRI Shapefile","abalone_commercial_dive_sub_blocks_statewide","Polygon",154,3,"EPSG:28355","220017.3242 5153857.9809 637030.4732 5663998.1847","","https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip",""
"ACID_SULFATE_SOIL_SITES","STATEWIDE","statewide","ACID_SULFATE_SOIL_SITES_STATEWIDE.zip","acid_sulfate_soil_sites_statewide.gdb","gdb","gdb;shp;tab","OpenFileGDB","acid_sulfate_soil_sites_statewide","MultiPoint",266,9,"EPSG:28355","232000 5205666 610808 5606502","","https://listdata.thelist.tas.gov.au/opendata/data/ACID_SULFATE_SOIL_SITES_STATEWIDE.zip",""
"ACID_SULFATE_SOIL_SITES","STATEWIDE","statewide","ACID_SULFATE_SOIL_SITES_STATEWIDE.zip","","shp","gdb;shp;tab","ESRI Shapefile","acid_sulfate_soil_sites_statewide","MultiPoint",266,9,"EPSG:28355","232000 5205666 610808 5606502","","https://listdata.thelist.tas.gov.au/opendata/data/ACID_SULFATE_SOIL_SITES_STATEWIDE.zip",""
"BUILT_INFRASTRUCTURE_LINE","STATEWIDE","statewide","BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip","built_infrastructure_line_statewide.gdb","gdb","gdb;shp;tab","OpenFileGDB","built_infrastructure_line_statewide","MultiLineString",625,12,"EPSG:28355","230571.296 5167086.903 608167.65 5577904.964","","https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip",""
"BUILT_INFRASTRUCTURE_LINE","STATEWIDE","statewide","BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip","","shp","gdb;shp;tab","ESRI Shapefile","built_infrastructure_line_statewide","LineString",625,12,"EPSG:28355","230571.296 5167086.903 608167.65 5577904.964","","https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip",""
"BUILT_INFRASTRUCTURE_POINT","STATEWIDE","statewide","BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip","built_infrastructure_point_statewide.gdb","gdb","gdb;shp;tab","OpenFileGDB","built_infrastructure_point_statewide","Point",10928,11,"EPSG:28355","230356.182 5171919.158 625315.013 5633908.035","","https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip",""
"BUILT_INFRASTRUCTURE_POINT","STATEWIDE","statewide","BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip","","shp","gdb;shp;tab","ESRI Shapefile","built_infrastructure_point_statewide","Point",10928,11,"EPSG:28355","230356.182 5171919.158 625315.013 5633908.035","","https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip",""
